page_title,revision_id,prediction,probability_B,probability_C,probability_FA,probability_GA,probability_Start,probability_Stub
"Colony, Alabama",1166018463,GA,0.18004207037641745,0.29655700171335536,0.009297087221785637,0.3853763782888983,0.12370026000823979,0.005027202391303796
"Columbia, Alabama",1166018475,C,0.26311212644036575,0.48794822497227086,0.011523517807500237,0.1573888944597917,0.07466070528448845,0.005366531035583085
"Columbiana, Alabama",1151357569,C,0.30864503430290763,0.5256749030794063,0.02065925588582839,0.09637550916023963,0.043486669651090534,0.005158627920527526
"Coosada, Alabama",1172561590,C,0.22121754822486242,0.4743279242700101,0.010843493156212872,0.19324062446170123,0.09526956934436093,0.005100840542852647
"Cordova, Alabama",1165645181,GA,0.17268470738673763,0.2561560209499235,0.023607059014055458,0.5227417360716274,0.020919986454312988,0.0038904901233429027
"Cottonwood, Alabama",1096812941,C,0.19676243749631966,0.3618825680776773,0.009364236070325091,0.18329722668754037,0.24353379065763225,0.005159741010505418
"County Line, Alabama",1166018950,Start,0.11360646306806288,0.2932383102701278,0.006106903527305357,0.024182659881735142,0.5480955456993137,0.014770117553455031
"Courtland, Alabama",1157580326,GA,0.11796294225181572,0.1283938340199013,0.01012842651507661,0.7212501370906421,0.01897665935016881,0.0032880007723957035
"Cowarts, Alabama",1166019003,C,0.1610239946332165,0.37527312845065736,0.006955984929877238,0.09879796581023004,0.3516006154380659,0.006348310737952921
"Creola, Alabama",1139764613,GA,0.1932546832967573,0.306516342210207,0.018037334569290058,0.4534654439680588,0.02437233767530846,0.004353858280378329
"Crossville, Alabama",1166066155,C,0.26894740172494014,0.6167829659391869,0.02213140544436654,0.05691655755717215,0.0312670366390068,0.003954632695327471
"Cuba, Alabama",1175879685,C,0.24803569033568532,0.4526731618188245,0.008022709458766786,0.13486771745675882,0.15117349745330222,0.005227223476662199
"Cullman, Alabama",1180017307,B,0.3495294996111283,0.29060959472630626,0.06269485276665361,0.2763297360689892,0.016259994300819352,0.004576322526103218
"Cusseta, Alabama",1172824345,Start,0.06870000080103827,0.10036696402410034,0.005475180942720346,0.01749367132898087,0.4934157871728936,0.3145483957302666
"Dadeville, Alabama",1158607851,C,0.2175312223376343,0.6890835029431739,0.011953126534275871,0.04039959011078112,0.03746720367667062,0.003565354397464063
"Daleville, Alabama",1154496305,GA,0.26013412678111286,0.2889674551878286,0.03309209851057611,0.38471683541703594,0.027787775902596627,0.005301708200849968
"Daphne, Alabama",1165646156,FA,0.08528942354509383,0.025133353872387635,0.4943417814489474,0.38356238550452687,0.00835611149430546,0.0033169441347389458
"Dauphin Island, Alabama",1174226588,B,0.310770944644801,0.2914532674481934,0.12242692119281881,0.2396529743790205,0.02920310009603251,0.006492792239133818
"Daviston, Alabama",1166066473,C,0.26928122570341434,0.39882260246061485,0.008609288823715235,0.14337110258599667,0.17352239047292733,0.006393389953331787
"Dayton, Alabama",1166066487,C,0.22435663232680952,0.38211480399836906,0.012075342836680278,0.21427143637548107,0.1615504410236493,0.005631343439010896
"Deatsville, Alabama",1166066515,C,0.1695938121749477,0.40636504939751855,0.007929385773202412,0.1043850943822979,0.305939980160667,0.0057866781113666875
"Decatur, Alabama",1178063438,C,0.3179461018380984,0.629598548045354,0.02308344866299754,0.02039544997145397,0.006919444441046736,0.0020570070410493276
"Demopolis, Alabama",1161394946,B,0.49508192609673574,0.2688118825065879,0.12027449984080113,0.10197191366111054,0.010172659210341533,0.0036871186844230647
"Detroit, Alabama",1166066756,Start,0.10960458521403754,0.2598598061558322,0.007029774130630619,0.07596675371695655,0.5245306373981743,0.023008443384368804
"Dodge City, Alabama",1166066982,Start,0.13173328635604636,0.258109750519339,0.0053990631234945964,0.042166095087692194,0.5533477041088796,0.009244100804548303
"Dora, Alabama",1165647022,C,0.23136666130859349,0.503004755284695,0.008560799910595482,0.13248844614471694,0.11953419289723459,0.005045144454164414
"Dothan, Alabama",1179231968,B,0.5254630027657478,0.14576228044245687,0.029252157784757205,0.2832476819732283,0.012260060917346795,0.004014816116463231
"Double Springs, Alabama",1159024876,C,0.23233552553298747,0.4533731652532207,0.0115886185735311,0.18961922513730503,0.10751974360778008,0.005563721895175695
"Douglas, Alabama",1166067023,GA,0.2727331827272814,0.2648722044646598,0.0068857097077420215,0.3197558604693903,0.1285414220018576,0.007211620629068789
"Dozier, Alabama",1096813187,Start,0.19600311116266533,0.34298787726046326,0.007833271034436727,0.056758896844416214,0.3801752100814234,0.016241633616595093
